GPSID,ETRS89_X,ETRS89_Y,ETRS89_Z,ElevMSL,Date,DEMval,diff,cntrdist,GCPdist,GCPavgdist
2518,453857.1865,6072012.151,42.9385,2.7085,20160926,2.78233415092544,0.0738341509254439,37.0962439516567,16.5356224932991,38.3461511366999
2519,453857.1771,6072012.98,42.9428,2.7128,20160926,2.77839273771653,0.0655927377165284,37.9120301594338,17.3559164906161,39.12351155871
2520,453857.1602,6072013.769,42.9487,2.7187,20160926,2.78583245987967,0.0671324598796703,38.6904410550003,18.136384497899,39.8673826502358
2521,453857.1682,6072014.533,42.9561,2.7261,20160926,2.77494191387639,0.04884191387639,39.4401934772745,18.8957012528699,40.5852061291172
2522,453857.1782,6072015.321,42.965,2.735,20160926,2.80301901786604,0.0680190178660394,40.2137529075343,19.6794550194539,41.3274535552215
2523,453857.1896,6072016.106,42.9747,2.7447,20160926,2.80924365537571,0.0645436553757057,40.9846679198384,20.460713891544,42.0687078021208
2524,453857.2018,6072016.954,42.9767,2.7467,20160926,2.82390249161434,0.0772024916143406,41.8180643278836,21.3049760769885,42.8716815929599
2525,453857.2319,6072017.819,42.9817,2.7517,20160926,2.82649903625806,0.0747990362580593,42.6658435260054,22.1683017351603,43.6898962181151
2526,453857.244,6072018.531,42.9817,2.7517,20160926,2.82798905532133,0.0762890553213276,43.3662501545518,22.8777548073377,44.367218221985
2527,453857.2589,6072019.33,43.0072,2.7772,20160926,2.84579160293325,0.0685916029332492,44.1524755105937,23.6742168702383,45.1286814292116
2528,453857.2702,6072020.147,43.0122,2.7822,20160926,2.86266127696273,0.0804612769627338,44.9574976282344,24.4884234412918,45.9096010584532
2529,453857.2889,6072020.946,43.0253,2.7953,20160926,2.86508009947101,0.0697800994710063,45.744027162921,25.2855874054581,46.6735837926829
2530,453857.3335,6072021.711,43.034,2.804,20160926,2.87400269800142,0.0700026980014168,46.4934956815612,26.0514112336101,47.4022007907774
2531,453857.3761,6072022.458,43.0477,2.8177,20160926,2.90171172781748,0.084011727817479,47.2259899229813,26.7991546134709,48.1151903559539
2532,453857.4139,6072023.33,43.056,2.826,20160926,2.90684138784376,0.0808413878437602,48.0833715995446,27.6709751982193,48.9508924739462
2533,453857.4507,6072024.109,43.0538,2.8238,20160926,2.91566583000955,0.0918658300095507,48.8493507306128,28.450136609624,49.6983351032518
2534,453857.4911,6072024.854,43.0436,2.8136,20160926,2.90493430197901,0.0913343019790132,49.5815899462702,29.1957850388234,50.4135197984294
2535,453857.5346,6072025.641,43.0241,2.7941,20160926,2.87970391529655,0.0856039152965518,50.3554413660647,29.9835659479792,51.170064160227
2536,453857.5779,6072026.371,43.0033,2.7733,20160926,2.85122387026995,0.0779238702699483,51.0732500623676,30.7145651545629,51.8724206809209
2537,453857.5685,6072027.109,42.9946,2.7646,20160926,2.85994541784601,0.0953454178460058,51.8061723095069,31.4490592111758,52.5906553083579
2538,453857.466,6072027.944,42.9547,2.7247,20160926,2.85537159965053,0.130671599650527,52.6474147017195,32.2729001488283,53.4165288795228
2539,453863.8162,6072027.624,43.8697,3.6397,20160926,3.7278478757484,0.0881478757483984,51.886424188317,33.0720949447824,52.6334183325744
2540,453863.7164,6072026.909,43.8796,3.6496,20160926,3.76037537257646,0.110775372576458,51.172459166226,32.3567583228852,51.9330665685663
2541,453863.6747,6072026.631,43.8948,3.6648,20160926,3.77236877766804,0.107568777668041,50.8949567415346,32.0779161838742,51.6610066682749
2542,453863.6662,6072026.575,43.8925,3.6625,20160926,3.77476781295997,0.112267812959974,50.8390629806745,32.0217240175785,51.6062194612939
2543,453863.5712,6072026.241,43.8998,3.6698,20160926,3.76957617275017,0.0997761727501749,50.5063352967388,31.6744762872334,51.2802670980161
2544,453863.3979,6072025.602,43.8926,3.6626,20160926,3.76200996274131,0.0994099627413108,49.8701706256685,31.0124414971425,50.6574090461976
2545,453863.2712,6072025.254,43.8913,3.6613,20160926,3.7590935244518,0.0977935244517978,49.5246496407649,30.643069216882,50.3194285300962
2546,453863.1717,6072024.67,43.9075,3.6775,20160926,3.77475425357341,0.0972542535734102,48.942928867993,30.0541342662245,49.7504024416479
2547,453863.098,6072024.066,43.9223,3.6923,20160926,3.80794284672745,0.115642846727451,48.340835216137,29.453277576291,49.1618102089086
2548,453863.0507,6072023.498,43.978,3.748,20160926,3.83313031790354,0.0851303179035399,47.7742033153923,28.8947126664785,48.6082491794896
2549,453862.9892,6072022.639,43.9831,3.7531,20160926,3.84579445133692,0.0926944513369161,46.9171482400193,28.0537385613642,47.7717815778575
2550,453862.89,6072021.712,43.9504,3.7204,20160926,3.81855670777174,0.0981567077717389,45.9934027456378,27.1379490017403,46.8715849405843
2551,453862.819,6072020.927,43.9182,3.6882,20160926,3.77386775978017,0.0856677597801743,45.2110104153341,26.3672416838201,46.1101757831015
2552,453862.7228,6072020.028,43.8561,3.6261,20160926,3.70416690668593,0.0780669066859341,44.3157711662991,25.4813591129268,45.2403348860764
2553,453862.6509,6072019.116,43.7893,3.5593,20160926,3.64631068541398,0.0870106854139818,43.4069899978516,24.5920925102636,44.3587963744461
2554,453862.5822,6072018.21,43.7344,3.5044,20160926,3.60084177604833,0.0964417760483278,42.5043354667161,23.7114838515715,43.4848936256392
2555,453862.6097,6072017.381,43.7012,3.4712,20160926,3.54966087837007,0.0784608783700667,41.6748992687249,22.9377832559418,42.6830833768286
2556,453862.6553,6072016.558,43.6637,3.4337,20160926,3.50929003753021,0.0755900375302065,40.8507342529287,22.1800487037867,41.8879667066871
2557,453862.7206,6072015.765,43.6495,3.4195,20160926,3.50295003135073,0.0834500313507318,40.0557770910051,21.4623351513985,41.1226715076931
2558,453862.8015,6072014.978,43.6265,3.3965,20160926,3.48416916429794,0.0876691642979379,39.2662537431834,20.7617809028696,40.3643938308008
2559,453862.9,6072014.054,43.6167,3.3867,20160926,3.47751626938562,0.090816269385618,38.3392496370176,19.9493303142591,39.476674573336
2560,453862.9543,6072013.177,43.6243,3.3943,20160926,3.4683276092636,0.0740276092635979,37.4608691089687,19.1715490218808,38.6385629749971
2561,453863.0421,6072012.312,43.5976,3.3676,20160926,3.45573280507046,0.0881328050704586,36.5933452616211,18.4283776065918,37.8137534904473
2562,453863.1413,6072011.367,43.6259,3.3959,20160926,3.47202186343561,0.0761218634356142,35.6455898660051,17.6312105393169,36.9165840167607
2563,453863.2075,6072010.462,43.6101,3.3801,20160926,3.46892684850615,0.0888268485061516,34.738954825522,16.868463838237,36.0627517927378
2564,453863.2831,6072009.585,43.6203,3.3903,20160926,3.45848365029834,0.0681836502983426,33.8600707270469,16.1495303774391,35.2395762889746
2565,453863.32,6072008.706,43.6312,3.4012,20160926,3.47419605151029,0.0729960515102945,32.9803665450998,15.4245120509183,34.4207794103605
2566,453863.3392,6072007.846,43.6477,3.4177,20160926,3.48183123972597,0.0641312397259699,32.1201729748486,14.7218128720577,33.6256746717241
2567,453863.3894,6072007.04,43.6556,3.4256,20160926,3.50975069812862,0.0841506981286182,31.313058003486,14.0984513888168,32.8851993634637
2568,453863.4355,6072006.196,43.6926,3.4626,20160926,3.53272487676032,0.0701248767603229,30.4680948268682,13.462602135621,32.1165920943431
2569,453863.4851,6072005.312,43.7014,3.4714,20160926,3.54129166246939,0.0698916624693875,29.5830686098157,12.8234579895634,31.3197349823118
2570,453863.5167,6072004.437,43.6771,3.4471,20160926,3.52045568320534,0.0733556832053366,28.7075360231452,12.2087782144577,30.5407756989724
2571,453863.5585,6072003.66,43.6411,3.4111,20160926,3.49872657896368,0.0876265789636799,27.9297057931775,11.7009978315316,29.8576595828735
2572,453863.62,6072002.804,43.6377,3.4077,20160926,3.47703661712153,0.0693366171215297,27.0724284604046,11.1896666614621,29.1158359389932
2573,453863.6786,6072001.976,43.6117,3.3817,20160926,3.47316291601467,0.0914629160146707,26.2432711055247,10.7365159506312,28.4107412438078
2574,453863.7312,6072001.203,43.5935,3.3635,20160926,3.44989972420987,0.0863997242098731,25.469289842142,10.3539128853649,27.76490584923
2575,453863.7824,6072000.387,43.6037,3.3737,20160926,3.44597738609498,0.0722773860949846,24.6523962446108,9.99556271362673,27.0976408216523
2576,453863.8387,6071999.566,43.5894,3.3594,20160926,3.43533223184463,0.0759322318446287,23.8304568771994,9.69582442539628,26.4428039793635
2577,453863.8734,6071998.822,43.578,3.348,20160926,3.42426781860564,0.076267818605638,23.0859495375278,9.46242647306015,25.8651285524796
2578,453863.9007,6071998.017,43.573,3.343,20160926,3.40977531354616,0.0667753135461573,22.280596269549,9.26093186941761,25.2581906483792
2579,453863.9114,6071997.181,43.5833,3.3533,20160926,3.42080300847164,0.067503008471637,21.4445358881506,9.10508111766001,24.6490925139491
2580,453863.898,6071996.352,43.5882,3.3582,20160926,3.41087312825518,0.0526731282551802,20.6159099104478,9.00070686109525,24.0675529568106
2581,453863.9275,6071995.628,43.5917,3.3617,20160926,3.4159381236477,0.0542381236477025,19.8914924780326,9.01265045641103,23.5783513827841
2582,453863.9503,6071994.839,43.6035,3.3735,20160926,3.43437025647961,0.0608702564796131,19.102213448954,9.08234911740072,23.0654568054059
2583,453863.9433,6071994.116,43.5883,3.3583,20160926,3.41612776016453,0.0578277601645287,18.3794544118117,9.17793447827789,22.6140087854847
2584,453863.9327,6071993.403,43.5878,3.3578,20160926,3.42505445339125,0.0672544533912536,17.6667867742312,9.32271633642049,22.1857651922665
2585,453863.912,6071992.618,43.5786,3.3486,20160926,3.42904968120853,0.0804496812085334,16.882388341054,9.53287637601236,21.7331527802099
2586,453863.9076,6071991.857,43.5941,3.3641,20160926,3.43831033151075,0.0742103315107512,16.121681336863,9.80694119281835,21.3120586096434
2587,453863.8965,6071991.072,43.5923,3.3623,20160926,3.43019050057723,0.0678905005772288,15.3371788696608,10.1360436192233,20.8950053642162
2588,453863.8957,6071990.313,43.6052,3.3752,20160926,3.43510685885794,0.059906858857945,14.5784523229308,9.63583226758504,20.5070108783212
